trip_id,vid,gtfs_trip_id,gtfs_time_start,gtfs_time_end
205327,140,205327,12:57:00,13:07:00
204941,146,204941,13:00:00,13:35:00
205460,143,205460,13:01:00,13:11:00
205352,144,205352,13:04:00,13:14:00
205765,136,205765,13:00:00,13:35:00
206056,727,206056,13:00:00,13:15:00
206327,120,206327,13:00:00,14:20:00
206969,703,206969,13:05:00,13:20:00
206769,138,206769,12:55:00,13:25:00
205433,140,205433,13:07:00,13:17:00
205330,143,205330,13:11:00,13:21:00
206270,506,206270,13:15:00,14:15:00
205749,111,205749,13:15:00,13:50:00
205326,140,205326,13:17:00,13:27:00
205481,144,205481,13:14:00,13:24:00
206895,703,206895,13:20:00,13:35:00
205142,150,205142,13:16:00,14:10:00
206041,134,206041,13:15:00,13:40:00
205241,135,205241,13:15:00,13:45:00
207275,147,207275,13:15:00,13:45:00
206078,727,206078,13:15:00,13:30:00
205069,123,205069,13:10:00,13:30:00
205459,143,205459,13:21:00,13:31:00
205921,113,205921,13:21:00,13:45:00
204940,504,204940,13:25:00,14:00:00
206336,752,206336,13:30:00,14:30:00
205182,124,205182,13:25:00,14:00:00
206283,154,206283,12:45:00,13:45:00
205351,144,205351,13:24:00,13:34:00
205329,143,205329,13:31:00,13:41:00
205432,140,205432,13:27:00,13:37:00
206055,727,206055,13:30:00,13:45:00
205164,146,205164,13:35:00,14:05:00
206972,703,206972,13:35:00,13:50:00
206768,136,206768,13:35:00,14:05:00
205325,140,205325,13:37:00,13:47:00
205480,144,205480,13:34:00,13:44:00
204904,123,204904,13:40:00,13:49:41
206794,138,206794,13:25:00,13:55:00
206325,154,206325,13:45:00,15:05:00
205191,133,205191,13:50:00,14:25:00
206025,134,206025,13:40:00,14:05:00
205431,143,205431,13:41:00,13:51:00
205350,144,205350,13:44:00,13:54:00
205777,111,205777,13:50:00,14:40:00
206898,703,206898,13:50:00,14:05:00
205412,140,205412,13:47:00,13:57:00
206281,112,206281,13:45:00,14:45:00
205258,135,205258,13:45:00,14:15:00
205324,143,205324,13:51:00,14:01:00
206290,145,206290,13:56:00,15:05:00
206077,727,206077,13:45:00,14:00:00
205943,113,205943,13:45:00,14:03:00
206767,126,206767,13:51:00,14:30:00
205305,140,205305,13:57:00,14:07:00
205479,144,205479,13:54:00,14:04:00
204903,124,204903,14:01:46,14:08:20
206335,129,206335,14:00:00,15:20:00
206042,134,206042,14:05:00,14:30:00
205163,504,205163,14:00:00,14:30:00
205430,143,205430,14:01:00,14:11:00
206054,727,206054,14:00:00,14:15:00
206975,703,206975,14:05:00,14:20:00
205349,144,205349,14:04:00,14:14:00
205730,138,205730,13:55:00,14:30:00
205052,147,205052,14:11:00,14:55:00
206788,136,206788,14:05:00,14:35:00
205411,140,205411,14:07:00,14:17:00
205072,146,205072,14:05:00,14:35:00
205323,143,205323,14:11:00,14:21:00
205919,113,205919,14:05:00,14:25:00
204939,123,204939,14:15:00,15:00:00
205478,144,205478,14:14:00,14:24:00
206314,506,206314,14:15:00,15:20:00
205304,140,205304,14:17:00,14:27:00
206076,727,206076,14:15:00,14:45:00
205913,119,205913,14:16:00,14:40:00
205429,143,205429,14:21:00,14:31:00
206279,133,206279,14:25:00,15:25:00
205245,135,205245,14:15:00,14:45:00
205410,140,205410,14:27:00,14:37:00
205348,144,205348,14:24:00,14:34:00
205322,143,205322,14:31:00,14:41:00
205941,113,205941,14:25:00,14:45:00
204902,146,204902,14:35:00,14:55:00
204938,124,204938,14:35:00,15:10:00
206026,134,206026,14:30:00,14:55:00
206053,725,206053,14:15:00,14:45:00
205748,136,205748,14:35:00,15:10:00
205477,144,205477,14:34:00,14:44:00
205303,140,205303,14:37:00,14:47:00
206766,752,206766,14:30:00,15:00:00
205754,138,205754,14:30:00,15:20:00
205747,501,205747,14:46:00,15:35:00
206323,112,206323,14:45:00,16:05:00
205071,504,205071,14:30:00,15:00:00
205428,143,205428,14:41:00,14:51:00
205151,150,205151,14:10:00,15:20:00
205347,144,205347,14:44:00,14:54:00
206075,725,206075,14:45:00,15:00:00
205409,140,205409,14:47:00,14:57:00
205912,120,205912,14:51:00,15:15:00
206271,113,206271,14:45:00,15:45:00
205321,143,205321,14:51:00,15:01:00
205257,135,205257,14:45:00,15:15:00
206043,134,206043,14:55:00,15:20:00
205302,140,205302,14:57:00,15:07:00
205476,144,205476,14:54:00,15:04:00
205935,119,205935,14:40:00,15:00:00
204901,504,204901,15:03:44,15:09:23
206765,152,206765,15:01:00,15:40:00
206333,145,206333,15:05:00,16:05:00
206052,725,206052,15:00:00,15:15:00
205427,143,205427,15:01:00,15:11:00
206786,752,206786,15:00:00,15:30:00
205346,144,205346,15:04:00,15:14:00
205181,147,205181,14:55:00,15:30:00
205408,140,205408,15:07:00,15:17:00
204937,146,204937,15:10:00,15:45:00
206289,119,206289,15:00:00,16:00:00
205776,136,205776,15:10:00,15:45:00
205320,143,205320,15:11:00,15:21:00
205162,124,205162,15:10:00,15:40:00
205475,144,205475,15:14:00,15:24:00
205915,506,205915,15:20:00,15:40:00
206074,725,206074,15:15:00,15:30:00
206787,126,206787,14:30:00,15:10:00
206321,133,206321,15:25:00,16:45:00
205934,120,205934,15:15:00,15:30:00
205345,144,205345,15:24:00,15:34:00
205426,143,205426,15:21:00,15:31:00
206051,725,206051,15:30:00,15:45:00
205244,135,205244,15:15:00,15:45:00
206287,132,206287,15:36:00,16:45:00
204900,147,204900,15:30:51,15:38:20
205746,120,205746,15:30:00,16:05:00
206027,134,206027,15:20:00,15:45:00
205319,143,205319,15:31:00,15:41:00
205775,501,205775,15:35:00,16:10:00
204936,504,204936,15:35:00,16:10:00
206759,752,206759,15:40:00,16:10:00
205474,144,205474,15:34:00,15:44:00
205301,140,205301,15:17:00,15:27:00
205937,506,205937,15:40:00,15:55:00
205425,143,205425,15:41:00,15:51:00
206793,152,206793,15:40:00,16:10:00
205051,146,205051,15:45:00,16:15:00
205914,137,205914,15:51:00,16:15:00
206332,113,206332,15:45:00,16:45:00
205407,140,205407,15:27:00,15:37:00
205138,130,205138,15:51:00,16:45:00
205344,144,205344,15:44:00,15:54:00
205318,143,205318,15:51:00,16:01:00
205139,136,205139,15:50:00,16:25:00
206073,725,206073,15:45:00,16:00:00
205070,124,205070,15:40:00,16:30:00
205300,140,205300,15:37:00,15:47:00
204899,506,204899,16:07:58,16:35:00
205473,144,205473,15:54:00,16:04:00
204935,147,204935,16:05:00,16:40:00
205256,135,205256,15:45:00,16:15:00
206050,725,206050,16:00:00,16:15:00
206125,129,206125,16:06:00,17:05:00
205343,144,205343,16:04:00,16:14:00
206044,134,206044,15:45:00,16:10:00
205424,143,205424,16:01:00,16:11:00
204898,154,204898,16:11:00,16:40:00
206764,501,206764,16:10:00,16:40:00
206308,145,206308,16:05:00,17:05:00
206331,119,206331,16:00:00,17:00:00
205405,140,205405,16:07:00,16:17:00
205180,146,205180,16:15:00,16:50:00
205317,143,205317,16:11:00,16:21:00
205745,152,205745,16:10:00,16:45:00
205774,120,205774,16:05:00,16:40:00
205160,126,205160,16:16:00,17:00:00
206277,111,206277,16:16:00,17:25:00
206780,752,206780,16:10:00,16:40:00
205161,504,205161,16:10:00,16:40:00
206072,725,206072,16:15:00,16:30:00
205472,144,205472,16:14:00,16:24:00
205298,140,205298,16:17:00,16:27:00
206028,134,206028,16:10:00,16:35:00
205423,143,205423,16:21:00,16:31:00
206049,725,206049,16:30:00,16:45:00
205404,140,205404,16:27:00,16:37:00
205152,136,205152,16:25:00,17:35:00
205243,135,205243,16:15:00,16:45:00
205342,144,205342,16:24:00,16:34:00
205316,143,205316,16:31:00,16:41:00
206124,112,206124,16:41:00,17:40:00
204934,506,204934,16:35:00,17:10:00
205297,140,205297,16:37:00,16:47:00
206785,501,206785,16:40:00,17:10:00
205471,144,205471,16:34:00,16:44:00
205153,130,205153,16:45:00,17:55:00
206071,725,206071,16:45:00,17:00:00
205137,123,205137,16:36:00,17:30:00
205729,752,205729,16:40:00,17:15:00
206045,134,206045,16:35:00,17:00:00
205422,143,205422,16:41:00,16:51:00
205067,504,205067,16:40:00,17:10:00
204897,146,204897,16:56:36,16:59:23
205341,144,205341,16:44:00,16:54:00
206071,727,206071,16:45:00,17:00:00
205054,147,205054,16:40:00,17:10:00
205773,152,205773,16:45:00,17:20:00
205403,140,205403,16:47:00,16:57:00
206763,120,206763,16:40:00,17:10:00
205315,143,205315,16:51:00,17:01:00
205255,135,205255,16:45:00,17:15:00
205470,144,205470,16:54:00,17:04:00
206280,113,206280,16:45:00,17:45:00
205296,140,205296,16:57:00,17:07:00
206352,145,206352,17:05:00,18:05:00
205340,144,205340,17:04:00,17:14:00
205421,143,205421,17:01:00,17:11:00
206048,727,206048,17:00:00,17:15:00
206070,727,206070,17:15:00,17:30:00
206029,134,206029,17:00:00,17:25:00
206278,119,206278,17:00:00,18:00:00
205083,126,205083,17:00:00,17:30:00
205917,137,205917,17:10:00,17:25:00
205179,147,205179,17:10:00,18:05:00
204896,504,204896,17:13:44,17:45:00
205402,140,205402,17:07:00,17:17:00
205050,506,205050,17:10:00,17:40:00
205744,501,205744,17:10:00,17:45:00
205314,143,205314,17:11:00,17:21:00
206784,120,206784,17:10:00,17:40:00
205753,752,205753,17:15:00,18:05:00
205469,144,205469,17:14:00,17:24:00
206319,111,206319,17:25:00,18:30:00
204932,146,204932,17:25:00,18:00:00
205339,144,205339,17:24:00,17:34:00
205420,143,205420,17:21:00,17:31:00
206046,134,206046,17:25:00,17:50:00
206762,152,206762,17:20:00,17:50:00
205939,137,205939,17:25:00,17:55:00
204895,126,204895,17:30:00,18:00:00
206123,127,206123,17:31:00,18:20:00
205313,143,205313,17:31:00,17:41:00
205242,135,205242,17:15:00,17:45:00
205468,144,205468,17:34:00,17:44:00
205178,506,205178,17:40:00,18:10:00
205159,154,205159,17:30:00,18:00:00
205338,144,205338,17:44:00,17:54:00
204931,504,204931,17:45:00,18:20:00
205419,143,205419,17:41:00,17:51:00
206135,112,206135,17:40:00,18:20:00
205772,501,205772,17:45:00,18:20:00
206134,129,206134,17:05:00,18:05:00
206322,113,206322,17:45:00,19:00:00
205312,143,205312,17:51:00,18:01:00
205743,120,205743,17:40:00,18:15:00
205154,123,205154,17:30:00,18:20:00
205254,135,205254,17:45:00,18:25:00
206030,134,206030,17:50:00,18:15:00
205467,144,205467,17:54:00,18:04:00
206320,119,206320,18:00:00,19:00:00
205337,144,205337,18:04:00,18:14:00
205751,146,205751,18:00:00,18:30:00
204930,126,204930,18:00:00,18:30:00
205082,154,205082,18:00:00,18:30:00
205418,143,205418,18:01:00,18:11:00
206783,152,206783,17:50:00,18:30:00
204894,506,204894,18:10:00,18:19:41
206031,134,206031,18:15:00,18:55:00
205466,144,205466,18:14:00,18:24:00
205311,143,205311,18:11:00,18:21:00
206273,145,206273,18:05:00,19:05:00
206761,501,206761,18:20:00,18:50:00
205066,504,205066,18:20:00,18:50:00
205771,120,205771,18:15:00,19:00:00
205417,143,205417,18:21:00,18:31:00
205336,144,205336,18:24:00,18:34:00
205910,112,205910,18:20:00,18:35:00
204893,154,204893,18:34:23,18:50:00
206276,111,206276,18:30:00,19:30:00
205136,123,205136,18:25:00,19:05:00
205770,146,205770,18:30:00,19:00:00
205310,143,205310,18:31:00,18:41:00
205742,152,205742,18:30:00,19:00:00
205465,144,205465,18:34:00,18:44:00
205158,126,205158,18:30:00,19:00:00
204929,506,204929,18:40:00,19:10:00
205335,144,205335,18:44:00,18:54:00
205416,143,205416,18:41:00,18:51:00
205932,112,205932,18:35:00,19:05:00
205177,504,205177,18:50:00,19:45:00
205309,143,205309,18:51:00,19:01:00
206782,501,206782,18:50:00,19:30:00
205464,144,205464,18:54:00,19:04:00
206316,145,206316,19:05:00,20:05:00
206760,146,206760,19:00:00,19:30:00
204928,154,204928,19:00:00,19:24:06
205334,144,205334,19:04:00,19:14:00
205081,126,205081,19:00:00,19:30:00
205415,143,205415,19:01:00,19:11:00
205769,152,205769,19:00:00,19:30:00
205909,127,205909,19:00:00,19:15:00
205155,123,205155,19:05:00,20:15:00
205308,143,205308,19:11:00,19:21:00
205065,506,205065,19:10:00,19:40:00
205463,144,205463,19:14:00,19:24:00
206305,119,206305,19:00:00,20:00:00
205931,127,205931,19:15:00,19:45:00
205333,144,205333,19:24:00,19:34:00
205414,143,205414,19:21:00,19:31:00
204892,126,204892,19:30:00,19:44:05
206318,111,206318,19:30:00,20:30:00
205157,154,205157,19:30:00,20:00:00
205307,143,205307,19:31:00,19:41:00
206304,152,206304,19:35:00,20:30:00
205741,501,205741,19:30:00,20:00:00
206781,146,206781,19:30:00,20:10:00
205462,144,205462,19:34:00,19:44:00
205176,506,205176,19:40:00,20:35:00
205332,144,205332,19:44:00,19:54:00
205413,143,205413,19:41:00,19:51:00
205461,144,205461,19:54:00,20:14:00
206349,119,206349,20:00:00,21:00:00
206272,145,206272,20:05:00,21:05:00
205764,501,205764,20:00:00,20:25:00
205080,154,205080,20:00:00,20:30:00
204927,126,204927,20:00:00,20:28:31
205306,143,205306,19:51:00,20:01:00
205398,143,205398,20:21:00,20:36:00
204891,154,204891,20:40:45,21:00:00
206275,111,206275,20:30:00,21:30:00
206348,152,206348,20:30:00,21:30:00
205740,501,205740,20:30:00,21:00:00
205064,126,205064,20:30:00,21:00:00
206303,119,206303,21:00:00,21:55:00
205175,126,205175,21:00:00,21:30:00
204926,154,204926,21:00:00,21:21:50
205767,501,205767,21:00:00,21:25:00
206315,145,206315,21:05:00,22:20:00
206302,152,206302,21:30:00,22:30:00
206317,111,206317,21:30:00,22:30:00
205739,501,205739,21:30:00,22:00:00
205156,154,205156,21:30:00,22:00:00
204890,126,204890,21:39:32,22:00:00
206347,119,206347,21:55:00,23:05:00
205766,501,205766,22:00:00,22:50:00
205079,154,205079,22:00:00,22:30:00
204925,126,204925,22:00:00,22:26:01
206274,111,206274,22:30:00,23:30:00
204889,154,204889,22:37:34,23:00:00
205063,126,205063,22:30:00,23:00:00
206346,152,206346,22:30:00,23:40:00
205174,126,205174,23:00:00,23:30:00
204924,154,204924,23:00:00,23:24:25
206345,111,206345,23:30:00,24:40:00
205173,154,205173,23:30:00,23:55:00
204923,126,204923,23:32:43,23:55:00
204959,126,204959,23:55:00,24:40:00
205087,154,205087,23:55:00,24:40:00
